group_id,image_count,original_splits,original_distribution,rebuilt_split,reason,clip_grouping_contributed,perceptual_duplicate_contributed,clips_involved,naming_conventions
dup:eu-test-d_license_plate_331_jpg.rf.997d3896d6f17f5db10541d6ab9ebe17,514,test|train|val,test=83;train=347;val=84,train,BOTH,yes,yes,eu-dayride_type1_001|in-video3,mp4-t|still|videoN_M
dup:in-test-video11_1010_jpg.rf.74975d1f1a3c65498e45ae9fc8ae74de,185,test|train|val,test=23;train=132;val=30,train,BOTH,yes,yes,in-video11,videoN_M
dup:eu-test-nightride_type3_001-mp4-t-10_jpg.rf.8f59c63f2a2dee7af2b034d531ec9fa7,82,test|train|val,test=14;train=56;val=12,train,BOTH,yes,yes,eu-nightride_type3_001,mp4-t
in-video2,76,test|train|val,test=8;train=58;val=10,train,CLIP_GROUPING,yes,no,in-video2,videoN_M
dup:in-test-video4_2170_jpg.rf.b849815fbf9e96620e6b871e232c78d5,75,test|train|val,test=11;train=51;val=13,train,BOTH,yes,yes,in-video4,videoN_M
in-video8,70,test|train|val,test=15;train=46;val=9,train,CLIP_GROUPING,yes,no,in-video8,videoN_M
in-video10,50,test|train|val,test=3;train=42;val=5,train,CLIP_GROUPING,yes,no,in-video10,videoN_M
dup:in-test-video6_1000_jpg.rf.996dbc4f6aadaa43dc734196cc471c47,43,test|train|val,test=9;train=30;val=4,train,BOTH,yes,yes,in-video6,videoN_M
dup:eu-test-dayride_type1_002-mp4-t-328_jpg.rf.379afff5667e62bdb854a7de4d8e0ca1,38,test|train|val,test=4;train=28;val=6,train,BOTH,yes,yes,eu-dayride_type1_002,mp4-t
dup:in-test-video5_100_jpg.rf.5bbb8ee5239c3992d003734798cdd8c8,33,test|train|val,test=4;train=24;val=5,train,BOTH,yes,yes,in-video5,videoN_M
dup:eu-test-dayride_type1_003-mp4-t-44_jpg.rf.7744b32857de83c99f93a07323a27bad,28,test|train|val,test=2;train=23;val=3,train,BOTH,yes,yes,eu-dayride_type1_003,mp4-t
dup:eu-test-d_license_plate_152_jpg.rf.b18339ce852c8e17df2a9c6320fc2e99,20,test|train|val,test=1;train=18;val=1,train,PERCEPTUAL_DUPLICATE,no,yes,,still
in-video9,20,test|train|val,test=2;train=13;val=5,train,CLIP_GROUPING,yes,no,in-video9,videoN_M
in-video12,8,test|train|val,test=2;train=4;val=2,train,CLIP_GROUPING,yes,no,in-video12,videoN_M
dup:eu-train-d_license_plate_166_jpg.rf.18ecb39af44ec0a53423576159627b36,7,train|val,train=6;val=1,train,PERCEPTUAL_DUPLICATE,no,yes,,still
dup:eu-test-d_license_plate_188_jpg.rf.487f425dd3a99b3d42ac72be15690f65,3,test|train,test=1;train=2,train,PERCEPTUAL_DUPLICATE,no,yes,,still
dup:eu-train-d_license_plate_108_jpg.rf.29c6e23698189beaee6234da4c31ddd8,3,test|train|val,test=1;train=1;val=1,train,PERCEPTUAL_DUPLICATE,no,yes,,still
dup:eu-test-pl_license_plate_327_jpg.rf.dcd2b7a1c3c0296310c252682e78e48f,2,test|train,test=1;train=1,train,PERCEPTUAL_DUPLICATE,no,yes,,still
dup:eu-test-pl_license_plate_375_jpg.rf.f6ec5bfdd027a54cfedb629f712ddd3a,2,train|val,train=1;val=1,train,PERCEPTUAL_DUPLICATE,no,yes,,still
dup:eu-train-d_license_plate_120_jpg.rf.d212238524a1a2fc9f3f7cfc8c042f2b,2,train|val,train=1;val=1,train,PERCEPTUAL_DUPLICATE,no,yes,,still
dup:eu-train-d_license_plate_164_jpg.rf.b3346bedacfddd1abfa22f693864b466,2,test|val,test=1;val=1,train,PERCEPTUAL_DUPLICATE,no,yes,,still
dup:eu-train-pl_license_plate_267_jpg.rf.b77c063412fd2fa1dd0ad84fdedd280c,2,test|train,test=1;train=1,train,PERCEPTUAL_DUPLICATE,no,yes,,still
dup:in-test-fbc107b7-13d8-4a2d-b8be-7c96bd7d609c___new_9214a754343030395508e104d7948167_large-jpg_jpeg.rf.4d516b5dac4d0027a9f25bb20fe00ad8,2,train|val,train=1;val=1,train,PERCEPTUAL_DUPLICATE,no,yes,,still
dup:in-train-7073bd18-c0bf-47da-9e43-8c9d27831f11___new_Skoda-Laura-rear-jpg_jpeg.rf.a72b84a6daef3b0d0fecbf34f3e21f67,2,train|val,train=1;val=1,train,PERCEPTUAL_DUPLICATE,no,yes,,still
dup:in-train-car-wbs-<PLATE-REDACTED>_00000_png.rf.75d912a56c404a13351478c6e3b26256,2,train|val,train=1;val=1,train,PERCEPTUAL_DUPLICATE,no,yes,,still
dup:in-train-ec4bde57-11dd-4d59-96ae-b5d3b28afda5___Maruti-Suzuki-Celerio-Back-Number-Plates-Design-jpg_jpeg.rf.9fe574461dc9c5851974f9fb065de4ca,2,train|val,train=1;val=1,train,PERCEPTUAL_DUPLICATE,no,yes,,still
